Label,Count
Turdinus marmoratus_Marbled Wren-Babbler,38
Turdinus macrodactylus_Large Wren-Babbler,87
Turdinus atrigularis_Black-throated Wren-Babbler,87
Trochalopteron peninsulae_Malayan Laughingthrush,37
Todiramphus chloris_Collared Kingfisher,62
Tesia superciliaris_Javan Tesia,46
Terpsiphone affinis_Blyth's Paradise-Flycatcher,46
Tanysiptera galatea_Common Paradise-Kingfisher,106
Surniculus lugubris_Square-tailed Drongo-Cuckoo,63
Strix leptogrammica_Brown Wood-Owl,31
Stachyris poliocephala_Gray-headed Babbler,47
Stachyris nigricollis_Black-throated Babbler,56
Stachyris nigriceps_Gray-throated Babbler,64
Stachyris maculata_Chestnut-rumped Babbler,72
Spilornis cheela_Crested Serpent-Eagle,90
Rollulus rouloul_Crested Partridge,55
Rhyticeros plicatus_Blyth's Hornbill,44
Rhipidura rufiventris_Northern Fantail,49
Rhipidura perlata_Spotted Fantail,34
Rhipidura javanica_Malaysian Pied-Fantail,48
Rhipidura dryas_Arafura Fantail,32
Rhipidura albicollis_White-throated Fantail,39
Rhinortha chlorophaea_Raffles's Malkoha,31
Pycnonotus plumosus_Olive-winged Bulbul,33
Pycnonotus goiavier_Yellow-vented Bulbul,53
Ptilocichla leucogrammica_Bornean Wren-Babbler,49
Pteruthius aeralatus_Blyth's Shrike-Babbler,50
Pterorhinus treacheri_Chestnut-hooded Laughingthrush,90
Psilopogon rafflesii_Red-crowned Barbet,36
Psilopogon pyrolophus_Fire-tufted Barbet,48
Psilopogon pulcherrimus_Golden-naped Barbet,69
Psilopogon oorti_Black-browed Barbet,56
Psilopogon mystacophanos_Red-throated Barbet,59
Psilopogon henricii_Yellow-crowned Barbet,42
Psilopogon duvaucelii_Blue-eared Barbet,120
Psilopogon chrysopogon_Gold-whiskered Barbet,83
Psilopogon armillaris_Flame-fronted Barbet,54
Prinia flaviventris_Yellow-bellied Prinia,78
Pomatorhinus bornensis_-,55
Polyplectron schleiermacheri_-,50
Polyplectron malacense_Malayan Peacock-Pheasant,79
Poecilodryas hypoleuca_Black-sided Robin,32
Pnoepyga pusilla_Pygmy Cupwing,127
Platysmurus aterrimus_-,132
Pityriasis gymnocephala_Bornean Bristlehead,71
Pitta sordida_Hooded Pitta,83
Pitta maxima_Ivory-breasted Pitta,63
Pitta guajana_-,4
Picus puniceus_Crimson-winged Woodpecker,57
Phylloscopus trivirgatus_Mountain Leaf Warbler,80
Phylloscopus poliocephalus_Island Leaf Warbler,58
Phylloscopus montis_Yellow-breasted Warbler,52
Phyllergates cucullatus_Mountain Tailorbird,170
Phodilus badius_Oriental Bay-Owl,40
Philentoma velata_Maroon-breasted Philentoma,36
Philentoma pyrhoptera_Rufous-winged Philentoma,43
Philemon buceroides_Helmeted Friarbird,33
Pericrocotus speciosus_Scarlet Minivet,36
Pellorneum tickelli_Buff-breasted Babbler,45
Pellorneum rostratum_White-chested Babbler,115
Pellorneum pyrrogenys_Temminck's Babbler,43
Pellorneum nigrocapitatum_-,53
Pellorneum malaccense_Short-tailed Babbler,44
Pellorneum celebense_Sulawesi Babbler,31
Pellorneum capistratoides_-,57
Pellorneum bicolor_Ferruginous Babbler,72
Pelargopsis capensis_Stork-billed Kingfisher,54
Parus cinereus_Cinereous Tit,38
Pachycephala sulfuriventer_Sulphur-bellied Whistler,32
Pachycephala hypoxantha_Bornean Whistler,71
Pachycephala grisola_-,3
Pachycephala cinerea_Mangrove Whistler,58
Otus spilocephalus_Mountain Scops-Owl,41
Otus rufescens_Reddish Scops-Owl,35
Otus magicus_Moluccan Scops-Owl,55
Otus lempiji_Sunda Scops-Owl,62
Otus alfredi_-,24
Orthotomus sutorius_Common Tailorbird,33
Orthotomus sericeus_Rufous-tailed Tailorbird,117
Orthotomus sepium_Olive-backed Tailorbird,44
Orthotomus ruficeps_Ashy Tailorbird,114
Orthotomus atrogularis_Dark-necked Tailorbird,74
Oriolus xanthonotus_Dark-throated Oriole,72
Origma murina_-,45
Nyctyornis amictus_Red-bearded Bee-eater,59
Noise-Noise,562
Nisaetus cirrhatus_Changeable Hawk-Eagle,36
Ninox sumbaensis_-,36
Ninox scutulata_Brown Boobook,36
Napothera epilepidota_Eyebrowed Wren-Babbler,38
Myiagra alecto_Shining Flycatcher,37
Mulleripicus pulverulentus_Great Slaty Woodpecker,104
Mixornis gularis_Pin-striped Tit-Babbler,62
Mixornis bornensis_Bold-striped Tit-Babbler,73
Micropternus brachyurus_Rufous Woodpecker,37
Melanocichla lugubris_-,36
Meiglyptes tukki_Buff-necked Woodpecker,46
Meiglyptes tristis_Buff-rumped Woodpecker,60
Megapodius freycinet_Dusky Scrubfowl,39
Malia grata_Malia,37
Malacopteron magnum_Rufous-crowned Babbler,99
Malacopteron magnirostre_Moustached Babbler,104
Malacopteron cinereum_Scaly-crowned Babbler,47
Malacopteron affine_Sooty-capped Babbler,109
Malacocincla sepiaria_Horsfield's Babbler,108
Malacocincla abbotti_Abbott's Babbler,44
Macropygia ruficeps_Little Cuckoo-Dove,56
Macropygia doreya_Sultan's Cuckoo-Dove,45
Macronus ptilosus_Fluffy-backed Tit-Babbler,85
Lycocorax pyrrhopterus_Paradise-crow,41
Locustella montis_Javan Bush Warbler,34
Locustella castanea_-,68
Lichmera squamata_White-tufted Honeyeater,32
Leptocoma aspasia_Black Sunbird,36
Lacedo pulchella_Banded Kingfisher,35
Kurochkinegramma hypogrammicum_Purple-naped Spiderhunter,32
Kenopia striata_Striped Wren-Babbler,48
Ixos malaccensis_Streaked Bulbul,37
Ixodia erythropthalmos_-,79
Irena puella_Asian Fairy-bluebird,4
Hypothymis azurea_Black-naped Monarch,73
Hydrornis schwaneri_Bornean Banded-Pitta,68
Hydrornis irena_Malayan Banded-Pitta,52
Hydrornis baudii_Blue-headed Pitta,82
Human vocal-Human vocal,8134
Horornis vulcanius_Sunda Bush Warbler,105
Hierococcyx fugax_Malaysian Hawk-Cuckoo,39
Hierococcyx bocki_Dark Hawk-Cuckoo,44
Hemiprocne longipennis_Gray-rumped Treeswift,39
Harpactes oreskios_Orange-breasted Trogon,3
Harpactes kasumba_Red-naped Trogon,74
Harpactes duvaucelii_Scarlet-rumped Trogon,55
Harpactes diardii_Diard's Trogon,54
Halcyon coromanda_Ruddy Kingfisher,54
Haematortyx sanguiniceps_Crimson-headed Partridge,66
Habroptila wallacii_-,18
Gypsophila crassa_-,78
Gypsophila brevicaudata_Streaked Wren-Babbler,61
Gerygone sulphurea_Golden-bellied Gerygone,38
Geopelia striata_Zebra Dove,36
Geoffroyus geoffroyi_Red-cheeked Parrot,59
Ficedula westermanni_Little Pied Flycatcher,55
Ficedula hyperythra_Snowy-browed Flycatcher,44
Ficedula dumetoria_Rufous-chested Flycatcher,56
Eurylaimus ochromalus_Black-and-yellow Broadbill,79
Eurylaimus javanicus_Banded Broadbill,40
Euptilotus eutilotus_-,35
Eupetes macrocerus_Malaysian Rail-babbler,52
Erythropitta ussheri_Black-crowned Pitta,113
Erythropitta granatina_Garnet Pitta,47
Environmental-Environmental,144
Eclectus roratus_Eclectus Parrot,45
Ducula aenea_Green Imperial-Pigeon,47
Dryocopus javensis_White-bellied Woodpecker,65
Diphyllodes respublica_-,36
Dicrurus remifer_Lesser Racket-tailed Drongo,31
Dicrurus paradiseus_Greater Racket-tailed Drongo,155
Dicrurus leucophaeus_Ashy Drongo,32
Dicrurus hottentottus_Hair-crested Drongo,78
Dicrurus bracteatus_Spangled Drongo,86
Dicaeum trigonostigma_Orange-bellied Flowerpecker,72
Dendrocitta cinerascens_Bornean Treepie,95
Cyornis unicolor_Pale Blue Flycatcher,37
Cyornis umbratilis_Gray-chested Jungle-Flycatcher,61
Cyornis caerulatus_Sunda Blue Flycatcher,39
Cymbirhynchus macrorhynchos_Black-and-red Broadbill,38
Cyanoderma rufifrons_Rufous-fronted Babbler,45
Cyanoderma melanothorax_Crescent-chested Babbler,34
Cyanoderma erythropterum_Chestnut-winged Babbler,41
Cyanoderma bicolor_-,60
Culicicapa ceylonensis_Gray-headed Canary-Flycatcher,66
Cuculus saturatus_Himalayan Cuckoo,3
Cuculus micropterus_Indian Cuckoo,41
Cuculus lepidus_Sunda Cuckoo,58
Corydon sumatranus_Dusky Broadbill,37
Corvus unicolor_-,25
Corvus macrorhynchos_Large-billed Crow,35
Corvus enca_Slender-billed Crow,89
Copsychus stricklandii_-,127
Copsychus pyrropygus_Rufous-tailed Shama,54
Cissa chinensis_Common Green-Magpie,4
Cinnyris jugularis_Olive-backed Sunbird,140
Chrysophlegma mentale_Checker-throated Woodpecker,45
Chrysocolaptes lucidus_-,3
Chrysococcyx minutillus_Little Bronze-Cuckoo,45
Chloropsis cyanopogon_Lesser Green Leafbird,36
Cettia vulcania_-,4
Centropus sinensis_Greater Coucal,43
Centropus rectunguis_Short-toed Coucal,35
Centropus celebensis_Bay Coucal,33
Centropus bengalensis_Lesser Coucal,34
Carpococcyx radiceus_Bornean Ground-Cuckoo,69
Caprimulgus macrurus_Large-tailed Nightjar,72
Calyptomena whiteheadi_Whitehead's Broadbill,76
Calyptomena viridis_Green Broadbill,45
Cacomantis sonneratii_Banded Bay Cuckoo,44
Cacomantis sepulcralis_-,81
Cacomantis merulinus_Plaintive Cuckoo,75
Buceros rhinoceros_Rhinoceros Hornbill,133
Brachypteryx montana_White-browed Shortwing,59
Brachypteryx leucophris_Lesser Shortwing,94
Brachypodius melanocephalos_Black-headed Bulbul,46
Blythipicus rubiginosus_Maroon Woodpecker,68
Berenicornis comatus_White-crowned Hornbill,58
Batrachostomus stellatus_Gould's Frogmouth,34
Batrachostomus affinis_Blyth's Frogmouth,44
Arachnothera magna_Streaked Spiderhunter,32
Arachnothera longirostra_Little Spiderhunter,98
Anthreptes malacensis_Brown-throated Sunbird,59
Anthracoceros malayanus_Black Hornbill,78
Anthipes solitaris_Rufous-browed Flycatcher,52
Anorrhinus galeritus_Bushy-crested Hornbill,36
Amaurornis phoenicurus_White-breasted Waterhen,45
Alophoixus phaeocephalus_Yellow-bellied Bulbul,53
Alcippe peracensis_Mountain Fulvetta,39
Alcippe brunneicauda_Brown Fulvetta,66
Aethopyga temminckii_Temminck's Sunbird,34
Aethopyga siparaja_Crimson Sunbird,52
Aegithina tiphia_Common Iora,71
Actenoides concretus_Rufous-collared Kingfisher,55
Accipiter hiogaster_Variable Goshawk,35
Abroscopus superciliaris_Yellow-bellied Warbler,35
